Result,Test,Duration,Links
Passed,dq checks/parquet_files/test_facility_name_min_time_spent_per_visit_date.py::test_check_not_null_values,00:00:03,
Passed,dq checks/parquet_files/test_facility_name_min_time_spent_per_visit_date.py::test_check_dataset_is_not_empty,10 ms,
Passed,dq checks/parquet_files/test_facility_type_avg_time_spent_per_visit_date.py::test_check_dataset_is_not_empty,00:00:02,
Passed,dq checks/parquet_files/test_facility_type_avg_time_spent_per_visit_date.py::test_check_not_null_values,14 ms,
Passed,dq checks/parquet_files/test_facility_type_avg_time_spent_per_visit_date.py::test_check_no_duplicates,8 ms,
Passed,dq checks/parquet_files/test_patient_sum_treatment_cost_per_facility_type.py::test_check_dataset_is_not_empty,1 ms,
Passed,dq checks/parquet_files/test_patient_sum_treatment_cost_per_facility_type.py::test_check_no_duplicates,2 ms,
Passed,test_postgres_facilities.py::test_check_postgres_facilities_is_not_empty,4 ms,
Passed,test_postgres_facilities.py::test_check_not_null_values,4 ms,
Passed,test_postgres_facilities.py::test_check_no_duplicates,2 ms,
Passed,test_postgres_patiens.py::test_check_postgres_patients_is_not_empty,3 ms,
Passed,test_postgres_patiens.py::test_check_not_null_values,2 ms,
Passed,test_postgres_patiens.py::test_check_no_duplicates,1 ms,
Passed,test_postgres_visits.py::test_check_postgres_visits_is_not_empty,525 ms,
Passed,test_postgres_visits.py::test_check_not_null_values,7 ms,
Passed,test_postgres_visits.py::test_check_no_duplicates,25 ms,
